"index","inputs","targets"
"0","[winogrande]:
<sentence>Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine.</sentence>
<option1>Ian</option1>
<option2>Dennis</option2>","2"
"1","[winogrande]:
<sentence>Ian volunteered to eat Dennis's menudo after already having a bowl because _ enjoyed eating intestine.</sentence>
<option1>Ian</option1>
<option2>Dennis</option2>","1"
"2","[winogrande]:
<sentence>He never comes to my home, but I always go to his house because the _ is smaller.</sentence>
<option1>home</option1>
<option2>house</option2>","1"
"3","[winogrande]:
<sentence>He never comes to my home, but I always go to his house because the _ is bigger.</sentence>
<option1>home</option1>
<option2>house</option2>","2"
"4","[winogrande]:
<sentence>Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a colder climate.</sentence>
<option1>Kyle</option1>
<option2>Logan</option2>","2"
"5","[winogrande]:
<sentence>Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a warmer climate.</sentence>
<option1>Kyle</option1>
<option2>Logan</option2>","1"
"6","[winogrande]:
<sentence>The GPS and map helped me navigate home.  I got lost when the _ got turned upside down.</sentence>
<option1>GPS</option1>
<option2>map</option2>","2"
"7","[winogrande]:
<sentence>The GPS and map helped me navigate home.  I got lost when the _ got turned off.</sentence>
<option1>GPS</option1>
<option2>map</option2>","1"
"8","[winogrande]:
<sentence>Emily looked up and saw Patricia racing by overhead, as _ was on the ramp .</sentence>
<option1>Emily</option1>
<option2>Patricia</option2>","2"
"9","[winogrande]:
<sentence>Emily looked up and saw Patricia racing by overhead, as _ was under the ramp .</sentence>
<option1>Emily</option1>
<option2>Patricia</option2>","1"
"10","[winogrande]:
<sentence>The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty.</sentence>
<option1>safe</option1>
<option2>trolley</option2>","2"
"11","[winogrande]:
<sentence>The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was full.</sentence>
<option1>safe</option1>
<option2>trolley</option2>","1"
"12","[winogrande]:
<sentence>He thought he had time to take the scenic route to the store, but the _ was under construction.</sentence>
<option1>route</option1>
<option2>store</option2>","1"
"13","[winogrande]:
<sentence>He thought he had time to take the scenic route to the store, but the _ was closed early.</sentence>
<option1>route</option1>
<option2>store</option2>","2"
"14","[winogrande]:
<sentence>She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick.</sentence>
<option1>chair</option1>
<option2>table</option2>","2"
"15","[winogrande]:
<sentence>She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is time consuming.</sentence>
<option1>chair</option1>
<option2>table</option2>","1"
"16","[winogrande]:
<sentence>To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary.</sentence>
<option1>unconscious</option1>
<option2>conscious</option2>","2"
"17","[winogrande]:
<sentence>To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are involuntary.</sentence>
<option1>unconscious</option1>
<option2>conscious</option2>","1"
"18","[winogrande]:
<sentence>Megan has a lot less money than Jessica because _ just bought the winning lottery ticket.</sentence>
<option1>Megan</option1>
<option2>Jessica</option2>","2"
"19","[winogrande]:
<sentence>Megan has a lot more money than Jessica because _ just bought the winning lottery ticket.</sentence>
<option1>Megan</option1>
<option2>Jessica</option2>","1"
"20","[winogrande]:
<sentence>I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now.</sentence>
<option1>raisins</option1>
<option2>peanuts</option2>","2"
"21","[winogrande]:
<sentence>I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I ate the _ for now.</sentence>
<option1>raisins</option1>
<option2>peanuts</option2>","1"
"22","[winogrande]:
<sentence>Craig really loves to clean all the time but Derrick does not because _ is very neat.</sentence>
<option1>Craig</option1>
<option2>Derrick</option2>","1"
"23","[winogrande]:
<sentence>Craig really loves to clean all the time but Derrick does not because _ is very untidy.</sentence>
<option1>Craig</option1>
<option2>Derrick</option2>","2"
"24","[winogrande]:
<sentence>Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers.</sentence>
<option1>Dennis</option1>
<option2>Robert</option2>","1"
"25","[winogrande]:
<sentence>Dennis gave his hammer to Robert so he could hammer the nails. _ had no hammers.</sentence>
<option1>Dennis</option1>
<option2>Robert</option2>","2"
"26","[winogrande]:
<sentence>The party was more interesting and uplifing than the funeral because the _ was rigid.</sentence>
<option1>party</option1>
<option2>funeral</option2>","2"
"27","[winogrande]:
<sentence>The party was more interesting and uplifting than the funeral because the _ was flexible.</sentence>
<option1>party</option1>
<option2>funeral</option2>","1"
"28","[winogrande]:
<sentence>The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden.</sentence>
<option1>fields</option1>
<option2>forests</option2>","2"
"29","[winogrande]:
<sentence>The geese prefer to nest in the fields rather than the forests because in the _ predators are very visible.</sentence>
<option1>fields</option1>
<option2>forests</option2>","1"
"30","[winogrande]:
<sentence>The plant took up too much room in the urn, because the _ was small.</sentence>
<option1>plant</option1>
<option2>urn</option2>","2"
"31","[winogrande]:
<sentence>The plant took up too much room in the urn, because the _ was large.</sentence>
<option1>plant</option1>
<option2>urn</option2>","1"
"32","[winogrande]:
<sentence>I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too low.</sentence>
<option1>bird house</option1>
<option2>ground</option2>","1"
"33","[winogrande]:
<sentence>I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too high.</sentence>
<option1>bird house</option1>
<option2>ground</option2>","2"
"34","[winogrande]:
<sentence>I prefer spa to the pool and I find the cold water in the _  not relaxing at the end of the day.</sentence>
<option1>spa</option1>
<option2>pool</option2>","2"
